block,city,state,zipcode
20500 ROYAL AV,OAKLAND,CA,94541
1700 A ST,OAKLAND,CA,94546
1700 A ST,OAKLAND,CA,94546
E 14TH ST/ 163RD AV,OAKLAND,CA,94578
E 14TH ST/ 163RD AV,OAKLAND,CA,94578
54TH AV/ INTERNATIONAL BL,OAKLAND,CA,94601
B ST/ MEEKLAND AV,OAKLAND,CA,94541
B ST/ MEEKLAND AV,OAKLAND,CA,94541
21ST AV/ INTERNATIONAL BL,OAKLAND,CA,94606
21ST AV/ INTERNATIONAL BL,OAKLAND,CA,94606
69TH AV/ SAN LEANDRO ST,OAKLAND,CA,94621
69TH AV/ SAN LEANDRO ST,OAKLAND,CA,94621
17400 LANGTON WY,OAKLAND,CA,94541
88TH AV/ INTERNATIONAL BL,OAKLAND,CA,94621
16000 MAUBERT AV,OAKLAND,CA,94578
100TH AV/ INTERNATIONAL BL,OAKLAND,CA,94603
92ND AV/ INTERNATIONAL BL,OAKLAND,CA,94603
300 HACIENDA AV,OAKLAND,CA,94541
4300 FIRST ST,OAKLAND,CA,94551
4300 FIRST ST,OAKLAND,CA,94551
A ST/ MISSION BL,OAKLAND,CA,94541
1500 166TH AV,OAKLAND,CA,94578
2500 GROVE WY,OAKLAND,CA,94546
LAS POSITAS CT/ N LIVERMORE AV,OAKLAND,CA,94551
E LEWELLING BL/ MISSION BL,OAKLAND,CA,94541
E LEWELLING BL/ MISSION BL,OAKLAND,CA,94541
17500 KINGSTON WY,OAKLAND,CA,94546
600 HAMPTON RD,OAKLAND,CA,94541
600 HAMPTON RD,OAKLAND,CA,94541
600 HAMPTON RD,OAKLAND,CA,94541
4600 EWING RD,OAKLAND,CA,94546
4600 EWING RD,OAKLAND,CA,94546
20900 WILBEAM AVENUE,OAKLAND,CA,94546
700 BLOSSOM WY,OAKLAND,CA,94541
15000 FREEDOM AV,OAKLAND,CA,94578
3900 CASTRO VALLEY BL,OAKLAND,CA,94546
22500 WOODROE AV,OAKLAND,CA,94541
3200 SHAWN WY,OAKLAND,CA,94541
20900 WILBEAM AV,OAKLAND,CA,94546
18700 WALNUT RD,OAKLAND,CA,94546
94TH AV / THERMAL ST,OAKLAND,CA,94605
94TH AV / THERMAL ST,OAKLAND,CA,94605
57TH AV / INTERNATIONAL BL,OAKLAND,CA,94621
57TH AV / INTERNATIONAL BL,OAKLAND,CA,94621
94TH AV / THERMAL ST,OAKLAND,CA,94605
E 12TH ST / 50TH AV,OAKLAND,CA,94601
E 12TH ST / 50TH AV,OAKLAND,CA,94601
E 12TH ST / 50TH AV,OAKLAND,CA,94601
FOOTHILL BL / MACARTHUR BL,OAKLAND,CA,94605
FOOTHILL OFF I580 / I580 WB,OAKLAND,CA,94605
85TH AV B ST,OAKLAND,CA,94621
3300 72ND AV,OAKLAND,CA,94605
5200 GENOA ST,OAKLAND,CA,94608
2700 E 16TH ST,OAKLAND,CA,94601
54TH AV/ INTERNATIONAL BL,OAKLAND,CA,94601
21ST AV/ INTERNATIONAL BL,OAKLAND,CA,94606
21ST AV/ INTERNATIONAL BL,OAKLAND,CA,94606
69TH AV/ SAN LEANDRO ST,OAKLAND,CA,94621
69TH AV/ SAN LEANDRO ST,OAKLAND,CA,94621
88TH AV/ INTERNATIONAL BL,OAKLAND,CA,94621
100TH AV/ INTERNATIONAL BL,OAKLAND,CA,94603
92ND AV/ INTERNATIONAL BL,OAKLAND,CA,94603
81ST AV/ INTERNATIONAL BL,OAKLAND,CA,94621
81ST AV/ INTERNATIONAL BL,OAKLAND,CA,94621
44TH AV/ INTERNATIONAL BL,OAKLAND,CA,94601
44TH AV/ INTERNATIONAL BL,OAKLAND,CA,94601
98TH AV/ INTERNATIONAL BL,OAKLAND,CA,94603
107TH AV/ ROYAL ANN ST,OAKLAND,CA,94603
68TH AV/ INTERNATIONAL BL,OAKLAND,CA,94621
68TH AV/ INTERNATIONAL BL,OAKLAND,CA,94621
106TH AV/ MACARTHUR BL,OAKLAND,CA,94605
106TH AV/ MACARTHUR BL,OAKLAND,CA,94605
87TH AV/ INTERNATIONAL BL,OAKLAND,CA,94621
88TH AV/ INTERNATIONAL BL,OAKLAND,CA,94621
88TH AV/ INTERNATIONAL BL,OAKLAND,CA,94621
88TH AV/ INTERNATIONAL BL,OAKLAND,CA,94621
88TH AV/ INTERNATIONAL BL,OAKLAND,CA,94621
88TH AV/ INTERNATIONAL BL,OAKLAND,CA,94621
E 14TH ST/ DURANT AV,OAKLAND,CA,94603
45TH AV/ INTERNATIONAL BL,OAKLAND,CA,94601
45TH AV/ INTERNATIONAL BL,OAKLAND,CA,94601
66TH AV/ COLISEUM WY,OAKLAND,CA,94621
66TH AV/ COLISEUM WY,OAKLAND,CA,94621
3600 MANDELA PW,OAKLAND,CA,94608
3600 MANDELA PKWY,OAKLAND,CA,94608
E 12TH ST / 51ST AV,OAKLAND,CA,94601
E 12TH ST / 51ST AV,OAKLAND,CA,94601
E 20TH ST / 23RD AV,OAKLAND,CA,94606
85TH AV / INTERNATIONAL BL,OAKLAND,CA,94621
85TH AV / INTERNATIONAL BL,OAKLAND,CA,94621
0 CLAY ST,OAKLAND,CA,94607
7000 COLISEUM WY,OAKLAND,CA,94621
500 6 ST,OAKLAND,CA,94607
14TH AV / E 26TH ST,OAKLAND,CA,94606
6900 FOOTHILL BL,OAKLAND,CA,94605
E 20TH ST / 26TH AV,OAKLAND,CA,94601
600 WASHINGTON AVE.,OAKLAND,CA,94553
0 AIRPORT DR,OAKLAND,CA,94603
9400 BURR ST,OAKLAND,CA,94605
2400 E 12TH ST,OAKLAND,CA,94601
1200 FALLON ST,OAKLAND,CA,94612
19TH AV/ E 23TH ST,OAKLAND,CA,94606
